LG,TEAM,FName,LName,POS1,G, OPS , SLG , AVG , OBP ,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SB%, ERA ,GS,W,L,PCT,CG,SV, IP ,HA,RA,ER,BBA,SOA,GP,HRA,ShO, FPCT1 ,G1,GS1,TC1,INN1,PO1,A1,E1,DP1, POS2 , FPCT2 , G2 , GS2 , TC2 , INN2 , PO2 , A2 , E2 , DP2 ,Year,TEAM LG,ID,BATS,THROWS
A,OAK,Ramón,A. Castro,3B,9, 0.388 , 0.200 , 0.133 , 0.188 ,15,2,2,1,0,0,3,1,3,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,7,3,7,32,1,6,0,0,,,,,,,,,,,2004,OAK A,A. CastroRamón,,
N,SF,David,Aardsma,P ,11,,,,,0,0,0,0,0,0,0,0,0,0,0,, 7.06 ,0,1,0, 1.000 ,0,0, 10.2 ,20,8,8,10,5,11,1,0,,11,0,0,10,0,0,0,0,,,,,,,,,,,2004,SF N,AardsmaDavid,,
N,PHI,Paul,Abbott,P ,8, 0.364 , 0.182 , 0.182 , 0.182 ,11,1,2,0,0,0,2,0,4,0,0,, 6.47 ,19,3,11, 0.214 ,0,0, 96.0 ,106,76,69,58,46,20,22,0, 0.882 ,20,19,17,96,6,9,2,0,,,,,,,,,,,2004,PHI N,AbbottPaul,R,R
N,PHI,Bobby,Abreu,OF,159, 0.972 , 0.544 , 0.301 , 0.428 ,574,118,173,47,1,30,105,127,116,40,5,88.9%,,,,,  ,,,,,,,,,,,, 0.982 ,158,157,330,1394,311,13,6,4,,,,,,,,,,,2004,PHI N,AbreuBobby,L,R
N,CIN,José,Acevedo,P ,38, 0.155 , 0.047 , 0.047 , 0.109 ,43,0,2,0,0,0,1,3,26,0,0,, 5.95 ,27,5,12, 0.294 ,0,0, 157.2 ,188,108,104,45,117,39,30,0, 1.000 ,39,27,22,157,4,18,0,0,,,,,,,,,,,2004,CIN N,AcevedoJosé,R,R
N,MIL,Mike,Adams,P ,43,,,,,0,0,0,0,0,0,0,0,0,0,0,, 3.40 ,0,2,3, 0.400 ,0,0, 53.0 ,50,21,20,14,39,46,5,0, 1.000 ,46,0,5,53,0,5,0,0,,,,,,,,,,,2004,MIL N,AdamsMike,,
A,TOR,Russ,Adams,SS,22, 0.878 , 0.528 , 0.306 , 0.351 ,72,10,22,2,1,4,10,5,5,1,0,100.0%,,,,,  ,,,,,,,,,,,, 0.936 ,21,18,78,159,26,47,5,9,,,,,,,,,,,2004,TOR A,AdamsRuss,,
A,TOR,Terry,Adams,P ,5,,,,,0,0,0,0,0,0,0,0,0,0,0,, 4.76 ,0,6,4, 0.600 ,0,3, 70.0 ,84,39,37,28,56,61,10,0, 0.867 ,61,0,15,70,9,4,2,1,,,,,,,,,,,2004,TOR A,AdamsTerry,R,R
A,CHI,Jon,Adkins,P ,3,,,,,0,0,0,0,0,0,0,0,0,0,0,, 4.65 ,0,2,3, 0.400 ,0,0, 62.0 ,75,35,32,20,44,50,13,0, 0.923 ,50,0,13,62,4,8,1,1,,,,,,,,,,,2004,CHI A,AdkinsJon,,
A,KC,Jeremy,Affeldt,P ,2,,,,,0,0,0,0,0,0,0,0,0,0,0,, 4.97 ,8,3,4, 0.429 ,0,13, 76.1 ,91,49,42,32,49,38,6,0, 0.882 ,38,8,17,76,3,12,2,2,,,,,,,,,,,2004,KC A,AffeldtJeremy,L,L
N,FLA,Chris,Aguila,OF,29, 0.766 , 0.511 , 0.222 , 0.255 ,45,10,10,2,1,3,5,2,12,0,0,,,,,,  ,,,,,,,,,,,, 0.909 ,20,7,22,89,19,1,2,0,,,,,,,,,,,2004,FLA N,AguilaChris,,
A,BAL,Kurt,Ainsworth,P ,,,,,,,,,,,,,,,,,, 9.83 ,7,0,1, -   ,0,0, 30.2 ,39,34,33,20,20,7,6,0, 1.000 ,7,7,4,30,2,2,0,1,,,,,,,,,,,2004,BAL A,AinsworthKurt,,
A,TEX,Manny,Alexander,SS,21, 0.606 , 0.333 , 0.238 , 0.273 ,21,3,5,2,0,0,3,1,7,0,0,,,,,,  ,,,,,,,,,,,, 0.914 ,21,5,35,70,10,22,3,1,,,,,,,,,,,2004,TEX A,AlexanderManny,,
N,HOU,Jason,Alfaro,SS,7, 0.364 , 0.182 , 0.182 , 0.182 ,11,1,2,0,0,0,0,0,5,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,3,2,5,16,2,3,0,1,,,,,,,,,,,2004,HOU N,AlfaroJason,,
N,ATL,Antonio,Alfonseca,P ,76, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,1,0,0,, 2.58 ,0,6,4, 0.600 ,0,0, 73.2 ,71,24,21,28,45,79,5,0, 1.000 ,79,0,10,73,3,7,0,0,,,,,,,,,,,2004,ATL N,AlfonsecaAntonio,R,R
N,SF,Edgardo,Alfonzo,3B,139, 0.753 , 0.407 , 0.289 , 0.347 ,519,66,150,26,1,11,77,46,40,1,1,50.0%,,,,,  ,,,,,,,,,,,, 0.961 ,134,127,363,1123,93,256,14,22,,,,,,,,,,,2004,SF N,AlfonzoEdgardo,R,R
A,TEX,Chad,Allen,OF,20, 0.611 , 0.345 , 0.241 , 0.267 ,58,4,14,4,1,0,6,2,13,0,1,0.0%,,,,,  ,,,,,,,,,,,, 1.000 ,13,11,14,95,14,0,0,0,,,,,,,,,,,2004,TEX A,AllenChad,R,R
N,ATL,Armando,Almanza,P ,11,,,,,0,0,0,0,0,0,0,0,0,0,0,, 6.43 ,0,1,1, 0.500 ,0,0, 11.2 ,9,8,8,7,13,13,3,0, 1.000 ,13,0,1,11,0,1,0,0,,,,,,,,,,,2004,ATL N,AlmanzaArmando,L,L
A,TEX,Carlos,Almánzar,P ,6,,,,,0,0,0,0,0,0,0,0,0,0,0,, 3.74 ,0,7,3, 0.700 ,0,0, 72.2 ,66,32,30,19,44,67,8,0, 1.000 ,67,0,13,72,1,12,0,0,,,,,,,,,,,2004,TEX A,AlmánzarCarlos,,
A,CHI,Sandy,Alomar Jr.,C ,50, 0.601 , 0.308 , 0.240 , 0.293 ,146,15,35,4,0,2,14,11,13,0,0,,,,,,  ,,,,,,,,,,,, 0.990 ,49,46,296,377,277,16,3,2,,,,,,,,,,,2004,CHI A,Alomar Jr.Sandy,R,R
N,ARI,Roberto,Alomar,2B,56, 0.711 , 0.392 , 0.263 , 0.319 ,171,18,45,6,2,4,24,14,31,0,2,0.0%,,,,,  ,,,,,,,,,,,, 0.975 ,41,36,160,306,71,85,4,24,,,,,,,,,,,2004,ARI N,AlomarRoberto,S,R
N,CHI,Moisés,Alou,OF,155, 0.922 , 0.557 , 0.293 , 0.365 ,601,106,176,36,3,39,106,68,80,3,0,100.0%,,,,,  ,,,,,,,,,,,, 0.969 ,154,152,255,1338,240,7,8,2,,,,,,,,,,,2004,CHI N,AlouMoisés,R,R
A,BOS,Abe,Alvarez,P ,,,,,,,,,,,,,,,,,, 9.00 ,1,0,1, -   ,0,0, 5.0 ,8,5,5,5,2,1,2,0, 1.000 ,1,1,1,5,1,0,0,0,,,,,,,,,,,2004,BOS A,AlvarezAbe,,
N,PIT,Tony,Álvarez,OF,24, 0.628 , 0.342 , 0.211 , 0.286 ,38,5,8,2,0,1,8,4,7,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,16,10,17,86,17,0,0,0,,,,,,,,,,,2004,PIT N,ÁlvarezTony,,
N,LA,Wilson,Álvarez,P ,39, 0.349 , 0.161 , 0.161 , 0.188 ,31,4,5,0,0,0,0,1,14,0,0,, 4.04 ,15,7,6, 0.538 ,0,1, 120.2 ,109,56,54,31,102,40,12,0, 1.000 ,40,15,19,120,3,16,0,0,,,,,,,,,,,2004,LA N,ÁlvarezWilson,L,L
A,ANA,Alfredo,Amezaga,SS,73, 0.435 , 0.247 , 0.161 , 0.188 ,93,12,15,2,0,2,11,3,24,3,2,60.0%,,,,,  ,,,,,,,,,,,, 0.978 ,74,22,135,285,48,84,3,10,,,,,,,,,,,2004,ANA A,AmezagaAlfredo,R,R
A,KC,Brian,Anderson,P ,2, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,0,0,0,, 5.64 ,26,6,12, 0.333 ,2,0, 166.0 ,217,123,104,53,70,35,33,1, 0.935 ,35,26,31,166,5,24,2,2,,,,,,,,,,,2004,KC A,AndersonBrian,R,L
A,ANA,Garret,Anderson,OF,112, 0.790 , 0.446 , 0.301 , 0.344 ,442,57,133,20,1,14,75,29,75,2,1,66.7%,,,,,  ,,,,,,,,,,,, 0.991 ,94,92,218,791,211,5,2,1,,,,,,,,,,,2004,ANA A,AndersonGarret,L,L
A,CLE,Jason,Anderson,P ,,,,,,,,,,,,,,,,,, 45.00 ,0,0,0,,0,0, 1.0 ,1,5,5,4,1,1,1,0, -   ,1,0,0,1,0,0,0,0,,,,,,,,,,,2004,CLE A,AndersonJason,,
N,CHI,Jimmy,Anderson,P ,7, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,0,0,0,, 5.33 ,0,0,0,,0,1, 15.2 ,19,9,9,6,6,12,0,0, 1.000 ,12,0,5,15,4,1,0,0,,,,,,,,,,,2004,CHI N,AndersonJimmy,L,L
N,STL,Marlon,Anderson,OF,113, 0.651 , 0.379 , 0.237 , 0.272 ,253,31,60,12,0,8,28,12,38,6,2,75.0%,,,,,  ,,,,,,,,,,,, 0.961 ,78,49,181,425,102,72,7,21,,,,,,,,,,,2004,STL N,AndersonMarlon,L,R
N,STL,Rick,Ankiel,P ,5, 0.500 , -   , -   , 0.500 ,1,0,0,0,0,0,0,1,1,0,0,, 5.40 ,0,1,0, 1.000 ,0,0, 10.0 ,10,6,6,1,9,5,2,0, 1.000 ,5,0,4,10,1,3,0,0,,,,,,,,,,,2004,STL N,AnkielRick,,
A,KC,Kevin,Appier,P ,,,,,,,,,,,,,,,,,, 13.50 ,2,0,1, -   ,0,0, 4.0 ,7,8,6,3,2,2,0,0, 1.000 ,2,2,2,4,1,1,0,0,,,,,,,,,,,2004,KC A,AppierKevin,,
N,ARI,Greg,Aquino,P ,34, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,0,0,0,, 3.08 ,0,0,2, -   ,0,16, 35.1 ,24,15,12,17,26,34,4,0, 1.000 ,34,0,7,35,3,4,0,0,,,,,,,,,,,2004,ARI N,AquinoGreg,,
A,TEX,Danny,Ardoin,C ,6, 0.489 , 0.125 , 0.125 , 0.364 ,8,1,1,0,0,0,1,3,2,0,0,,,,,,  ,,,,,,,,,,,, 0.958 ,6,2,24,25,21,2,1,0,,,,,,,,,,,2004,TEX A,ArdoinDanny,,
N,MON,Tony,Armas,P ,15, -   , -   , -   , -   ,16,0,0,0,0,0,0,0,5,0,0,, 4.88 ,16,2,4, 0.333 ,0,0, 72.0 ,66,41,39,45,54,16,13,0, 1.000 ,16,16,15,72,2,13,0,3,,,,,,,,,,,2004,MON N,ArmasTony,,
A,BOS,Bronson,Arroyo,P ,3, -   , -   , -   , -   ,6,0,0,0,0,0,0,0,5,0,0,, 4.04 ,29,10,9, 0.526 ,0,0, 178.2 ,171,99,80,47,142,32,17,0, 0.952 ,32,29,42,178,24,16,2,2,,,,,,,,,,,2004,BOS A,ArroyoBronson,R,R
N,SD,Andy,Ashby,P ,2,,,,,0,0,0,0,0,0,0,0,0,0,0,, -   ,0,0,0,,0,0, 2.0 ,1,0,0,0,2,2,0,0,,2,0,0,2,0,0,0,0,,,,,,,,,,,2004,SD N,AshbyAndy,R,R
A,BOS,Pedro,Astacio,P ,,,,,,,,,,,,,,,,,, 10.98 ,1,0,0,,0,0, 8.2 ,13,10,10,5,6,5,2,0, 1.000 ,5,1,1,8,1,0,0,0,,,,,,,,,,,2004,BOS A,AstacioPedro,,
A,SEA,Scott,Atchison,P ,,,,,,,,,,,,,,,,,, 3.58 ,0,2,3, 0.400 ,0,0, 30.2 ,29,12,12,14,36,25,4,0, 1.000 ,25,0,8,30,2,6,0,1,,,,,,,,,,,2004,SEA A,AtchisonScott,,
N,COL,Garrett,Atkins,3B,15, 0.973 , 0.536 , 0.357 , 0.438 ,28,3,10,2,0,1,8,4,3,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,10,7,34,58,29,5,0,7,,,,,,,,,,,2004,COL N,AtkinsGarrett,,
A,SEA,Rich,Aurilia,SS,124, 0.663 , 0.353 , 0.246 , 0.310 ,399,49,98,21,2,6,44,37,71,1,0,100.0%,,,,,  ,,,,,,,,,,,, 0.990 ,73,71,303,634,114,186,3,39,, 0.937 , 43.000 , 34.000 , 111.000 , 307.000 , 37.000 , 67.000 , 7.000 , 8.000 ,2004,SEA A,AuriliaRich,R,R
N,HOU,Brad,Ausmus,C ,129, 0.630 , 0.325 , 0.248 , 0.305 ,403,38,100,14,1,5,31,33,56,2,2,50.0%,,,,,  ,,,,,,,,,,,, 0.995 ,128,114,986,1018,920,61,5,10,,,,,,,,,,,2004,HOU N,AusmusBrad,R,R
N,MON,Luis,Ayala,P ,79, 0.778 , 0.444 , 0.333 , 0.333 ,9,0,3,1,0,0,0,0,3,0,0,, 2.70 ,0,6,12, 0.333 ,0,2, 90.1 ,92,30,27,15,63,81,6,0, 1.000 ,81,0,30,90,9,21,0,4,,,,,,,,,,,2004,MON N,AyalaLuis,R,R
N,HOU,Brandon,Backe,P ,34, 0.853 , 0.500 , 0.313 , 0.353 ,16,3,5,0,0,1,6,1,8,0,0,, 4.30 ,9,5,3, 0.625 ,0,0, 67.0 ,75,33,32,27,54,33,10,0, 1.000 ,33,9,14,67,4,10,0,1,,,,,,,,,,,2004,HOU N,BackeBrandon,R,R
A,TEX,Mike,Bacsik,P ,,,,,,,,,,,,,,,,,, 4.74 ,3,1,1, 0.500 ,0,0, 15.2 ,16,8,8,1,6,3,2,0, 1.000 ,3,3,3,15,1,2,0,0,,,,,,,,,,,2004,TEX A,BacsikMike,,
N,ARI,Carlos,Baerga,1B,79, 0.615 , 0.329 , 0.235 , 0.286 ,85,6,20,2,0,2,11,6,12,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,6,4,36,35,32,4,0,2,,,,,,,,,,,2004,ARI N,BaergaCarlos,S,R
A,TB,Danys,Báez,P ,5,,,,,0,0,0,0,0,0,0,0,0,0,0,, 3.57 ,0,4,4, 0.500 ,0,30, 68.0 ,60,31,27,29,52,62,6,0, 1.000 ,62,0,11,68,1,10,0,0,,,,,,,,,,,2004,TB A,BáezDanys,R,R
N,HOU,Jeff,Bagwell,1B,156, 0.836 , 0.465 , 0.266 , 0.371 ,572,104,152,29,2,27,89,96,131,6,4,60.0%,,,,,  ,,,,,,,,,,,, 0.995 ,152,151,1294,1328,1190,98,6,109,,,,,,,,,,,2004,HOU N,BagwellJeff,R,R
A,CHI,Jeff,Bajenaru,P ,,,,,,,,,,,,,,,,,, 11.11 ,0,0,1, -   ,0,0, 8.1 ,15,10,10,6,8,9,0,0, -   ,9,0,0,8,0,0,0,0,,,,,,,,,,,2004,CHI A,BajenaruJeff,,
N,CHI,Paul,Bako,C ,49, 0.564 , 0.283 , 0.203 , 0.281 ,138,13,28,8,0,1,10,15,29,1,0,100.0%,,,,,  ,,,,,,,,,,,, 0.989 ,47,43,366,377,332,30,4,2,,,,,,,,,,,2004,CHI N,BakoPaul,L,R
A,TB,Rocco,Baldelli,OF,136, 0.756 , 0.436 , 0.280 , 0.319 ,518,79,145,27,3,16,74,30,88,17,4,81.0%,,,,,  ,,,,,,,,,,,, 0.978 ,124,120,361,1047,342,11,8,2,,,,,,,,,,,2004,TB A,BaldelliRocco,R,R
N,NY,James,Baldwin,P ,2, -   , -   , -   , -   ,2,0,0,0,0,0,0,0,1,0,0,, 15.00 ,2,0,2, -   ,0,0, 6.0 ,13,10,10,5,1,2,3,0, 1.000 ,2,2,2,6,0,2,0,0,,,,,,,,,,,2004,NY N,BaldwinJames,R,R
A,MIN,Grant,Balfour,P ,4,,,,,0,0,0,0,0,0,0,0,0,0,0,, 4.37 ,0,4,1, 0.800 ,0,0, 39.1 ,35,19,19,21,42,36,4,0, 1.000 ,36,0,7,39,3,4,0,0,,,,,,,,,,,2004,MIN A,BalfourGrant,,
A,TEX,Rod,Barajas,C ,108, 0.727 , 0.453 , 0.249 , 0.275 ,358,50,89,26,1,15,58,13,63,0,1,0.0%,,,,,  ,,,,,,,,,,,, 0.990 ,107,102,690,911,659,24,7,2,,,,,,,,,,,2004,TEX A,BarajasRod,R,R
A,CLE,Josh,Bard,C ,7, 1.184 , 0.684 , 0.421 , 0.500 ,19,5,8,2,0,1,4,3,0,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,7,6,51,53,47,4,0,1,,,,,,,,,,,2004,CLE A,BardJosh,S,R
N,COL,Clint,Barmes,2B,20, 0.747 , 0.437 , 0.282 , 0.311 ,71,14,20,3,1,2,10,3,10,0,1,0.0%,,,,,  ,,,,,,,,,,,, 0.980 ,18,17,101,141,36,63,2,12,,,,,,,,,,,2004,COL N,BarmesClint,,
N,CHI,Michael,Barrett,C ,134, 0.824 , 0.489 , 0.287 , 0.335 ,456,55,131,32,6,16,65,33,64,1,4,20.0%,,,,,  ,,,,,,,,,,,, 0.994 ,130,119,1088,1081,1035,47,6,9,,,,,,,,,,,2004,CHI N,BarrettMichael,R,R
A,MIN,Jason,Bartlett,SS,8, 0.237 , 0.083 , 0.083 , 0.154 ,12,2,1,0,0,0,1,1,1,2,0,100.0%,,,,,  ,,,,,,,,,,,, 0.895 ,6,2,19,23,5,12,2,3,,,,,,,,,,,2004,MIN A,BartlettJason,,
A,CLE,Cliff,Bartosh,P ,2,,,,,0,0,0,0,0,0,0,0,0,0,0,, 4.71 ,0,1,0, 1.000 ,0,0, 19.1 ,22,10,10,11,25,34,4,0, 1.000 ,34,0,1,19,1,0,0,0,,,,,,,,,,,2004,CLE A,BartoshCliff,,
A,TOR,Miguel,Batista,P ,2, -   , -   , -   , -   ,5,0,0,0,0,0,0,0,3,0,0,, 4.81 ,31,10,13, 0.435 ,2,5, 198.2 ,206,115,106,96,104,38,22,1, 0.980 ,38,31,49,198,18,30,1,5,,,,,,,,,,,2004,TOR A,BatistaMiguel,R,R
N,MON,Tony,Batista,3B,157, 0.728 , 0.455 , 0.241 , 0.272 ,606,76,146,30,2,32,110,26,78,14,6,70.0%,,,,,  ,,,,,,,,,,,, 0.954 ,155,149,410,1326,82,309,19,35,,,,,,,,,,,2004,MON N,BatistaTony,R,R
A,BAL,Rick,Bauer,P ,1,,,,,0,0,0,0,0,0,0,0,0,0,0,, 4.74 ,2,2,1, 0.667 ,0,0, 53.2 ,49,31,28,20,37,23,4,0, 1.000 ,23,2,12,53,3,9,0,1,,,,,,,,,,,2004,BAL A,BauerRick,R,R
N,ARI,Danny,Bautista,OF,141, 0.730 , 0.401 , 0.286 , 0.329 ,539,64,154,27,1,11,65,35,66,6,2,75.0%,,,,,  ,,,,,,,,,,,, 0.986 ,137,137,283,1192,271,8,4,1,,,,,,,,,,,2004,ARI N,BautistaDanny,R,R
A,KC,Denny,Bautista,P ,,,,,,,,,,,,,,,,,, 8.63 ,5,0,4, -   ,0,0, 29.2 ,44,28,28,13,19,7,3,0, 1.000 ,7,5,1,29,0,1,0,0,,,,,,,,,,,2004,KC A,BautistaDenny,,
A,KC,José,Bautista,3B,64, 0.502 , 0.239 , 0.205 , 0.263 ,88,6,18,3,0,0,2,7,40,0,1,0.0%,,,,,  ,,,,,,,,,,,, 0.957 ,12,6,23,59,5,17,1,2,, 0.909 , 32.000 , 14.000 , 33.000 , 136.000 , 27.000 , 3.000 , 3.000 , -   ,2004,KC A,BautistaJosé,,
N,PIT,Jason,Bay,OF,120, 0.897 , 0.550 , 0.282 , 0.347 ,411,61,116,24,4,26,82,41,129,4,6,40.0%,,,,,  ,,,,,,,,,,,, 0.991 ,122,110,216,984,211,3,2,0,,,,,,,,,,,2004,PIT N,BayJason,,
N,FLA,Josh,Beckett,P ,26, 0.377 , 0.182 , 0.159 , 0.196 ,44,2,7,1,0,0,2,2,18,0,0,, 3.80 ,26,9,9, 0.500 ,1,0, 156.2 ,137,72,66,54,152,26,16,1, 0.913 ,26,26,23,156,4,17,2,0,,,,,,,,,,,2004,FLA N,BeckettJosh,R,R
N,SD,Rod,Beck,P ,22,,,,,0,0,0,0,0,0,0,0,0,0,0,, 6.38 ,0,0,2, -   ,0,0, 24.0 ,27,18,17,9,15,26,8,0, 0.667 ,26,0,3,24,0,2,1,0,,,,,,,,,,,2004,SD N,BeckRod,R,R
A,BAL,Erik,Bedard,P ,2, 0.200 , -   , -   , 0.200 ,4,0,0,0,0,0,0,1,3,0,0,, 4.60 ,26,6,10, 0.375 ,0,0, 137.1 ,149,83,70,71,121,27,13,0, 1.000 ,27,26,19,137,10,9,0,0,,,,,,,,,,,2004,BAL A,BedardErik,,
A,MIN,Joe,Beimel,P ,,,,,,,,,,,,,,,,,, 60.00 ,0,0,0,,0,0, 1.2 ,8,8,8,2,2,3,1,0, -   ,3,0,0,1,0,0,0,0,,,,,,,,,,,2004,MIN A,BeimelJoe,,
N,PHI,David,Bell,3B,143, 0.817 , 0.458 , 0.291 , 0.359 ,533,67,155,33,1,18,77,57,75,1,1,50.0%,,,,,  ,,,,,,,,,,,, 0.943 ,142,141,421,1239,89,308,24,22,,,,,,,,,,,2004,PHI N,BellDavid,R,R
N,NY,Heath,Bell,P ,17, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,0,0,0,, 3.36 ,0,0,2, -   ,0,0, 24.1 ,22,9,9,6,27,17,5,0, 1.000 ,17,0,3,24,0,3,0,0,,,,,,,,,,,2004,NY N,BellHeath,,
A,BOS,Mark,Bellhorn,2B,138, 0.813 , 0.444 , 0.264 , 0.370 ,523,93,138,37,3,17,82,88,177,6,1,85.7%,,,,,  ,,,,,,,,,,,, 0.977 ,141,132,599,1162,201,384,14,64,,,,,,,,,,,2004,BOS A,BellhornMark,S,R
A,CLE,Ronnie,Belliard,2B,152, 0.773 , 0.426 , 0.282 , 0.347 ,599,78,169,48,1,12,70,60,98,3,2,60.0%,,,,,  ,,,,,,,,,,,, 0.981 ,151,148,719,1320,278,427,14,89,,,,,,,,,,,2004,CLE A,BelliardRonnie,R,R
A,TB,Rob,Bell,P ,2, 0.600 , 0.400 , 0.200 , 0.200 ,5,1,1,1,0,0,0,0,2,0,0,, 4.46 ,19,8,8, 0.500 ,1,0, 123.0 ,121,71,61,41,57,24,16,0, 0.966 ,24,19,29,123,17,11,1,0,,,,,,,,,,,2004,TB A,BellRob,,
N,HOU,Carlos,Beltrán,OF,159, 0.912 , 0.548 , 0.267 , 0.365 ,599,121,160,36,9,38,104,92,101,42,3,93.3%,,,,,  ,,,,,,,,,,,, 0.981 ,158,157,419,1369,398,13,8,3,,,,,,,,,,,2004,HOU N,BeltránCarlos,S,R
N,CHI,Francis,Beltrán,P ,42, 0.667 , 0.333 , 0.333 , 0.333 ,3,0,1,0,0,0,0,0,0,0,0,, 5.50 ,0,2,2, 0.500 ,0,1, 49.1 ,47,31,30,27,48,45,11,0, 0.833 ,45,0,6,49,0,5,1,1,,,,,,,,,,,2004,CHI N,BeltránFrancis,,
N,MON,Rigo,Beltrán,P ,2,,,,,0,0,0,0,0,0,0,0,0,0,0,, 45.00 ,0,0,0,,0,0, 0.2 ,1,1,1,0,0,2,0,0,,2,0,0,0,0,0,0,0,,,,,,,,,,,2004,MON N,BeltránRigo,,
N,LA,Adrián,Béltre,3B,156, 1.017 , 0.629 , 0.334 , 0.389 ,598,104,200,32,0,48,121,53,87,7,2,77.8%,,,,,  ,,,,,,,,,,,, 0.978 ,156,154,453,1341,120,323,10,32,,,,,,,,,,,2004,LA N,BéltreAdrián,R,R
N,FLA,Armando,Benítez,P ,62, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,1,0,0,, 1.30 ,0,2,2, 0.500 ,0,47, 69.2 ,36,11,10,21,62,64,6,0, 0.875 ,64,0,8,69,4,3,1,0,,,,,,,,,,,2004,FLA N,BenítezArmando,R,R
N,MIL,Gary,Bennett,C ,75, 0.623 , 0.329 , 0.224 , 0.295 ,219,18,49,14,0,3,20,22,32,1,0,100.0%,,,,,  ,,,,,,,,,,,, 0.993 ,75,65,413,584,381,29,3,3,,,,,,,,,,,2004,MIL N,BennettGary,R,R
N,MIL,Jeff,Bennett,P ,57, -   , -   , -   , -   ,2,0,0,0,0,0,0,0,2,0,0,, 4.81 ,0,1,5, 0.167 ,0,0, 71.1 ,78,43,38,26,45,60,12,0, 0.929 ,60,0,14,71,6,7,1,0,,,,,,,,,,,2004,MIL N,BennettJeff,,
A,TEX,Joaquín,Benoit,P ,2, -   , -   , -   , -   ,6,1,0,0,0,0,0,0,4,0,0,, 5.68 ,15,3,5, 0.375 ,0,0, 103.0 ,113,67,65,31,95,28,19,0, 0.923 ,28,15,13,103,6,6,1,1,,,,,,,,,,,2004,TEX A,BenoitJoaquín,R,R
N,PIT,Kris,Benson,P ,30, 0.305 , 0.138 , 0.138 , 0.167 ,58,3,8,0,0,0,5,2,26,0,0,, 4.32 ,31,12,12, 0.500 ,1,0, 200.1 ,202,106,96,61,134,31,15,1, 0.977 ,31,31,43,200,17,25,1,2,,,,,,,,,,,2004,PIT N,BensonKris,R,R
N,MON,Chad,Bentz,P ,35, 1.000 , 0.500 , 0.500 , 0.500 ,2,0,1,0,0,0,0,0,0,0,0,, 5.96 ,0,0,3, -   ,0,0, 27.2 ,23,19,18,23,18,36,5,0, 1.000 ,36,0,10,27,5,5,0,0,,,,,,,,,,,2004,MON N,BentzChad,,
A,TOR,Dave,Berg,1B,58, 0.610 , 0.338 , 0.253 , 0.272 ,154,13,39,4,0,3,23,4,27,0,1,0.0%,,,,,  ,,,,,,,,,,,, 0.953 ,46,34,106,316,85,16,5,9,,,,,,,,,,,2004,TOR A,BergDave,R,R
A,KC,Brandon,Berger,OF,11, 0.457 , 0.257 , 0.200 , 0.200 ,35,5,7,2,0,0,2,0,7,1,1,50.0%,,,,,  ,,,,,,,,,,,, 1.000 ,11,9,26,87,25,1,0,1,,,,,,,,,,,2004,KC A,BergerBrandon,R,R
N,MON,Peter,Bergeron,OF,11, 0.464 , 0.214 , 0.214 , 0.250 ,42,2,9,0,0,0,1,2,16,0,1,0.0%,,,,,  ,,,,,,,,,,,, 0.913 ,11,11,23,97,21,0,2,0,,,,,,,,,,,2004,MON N,BergeronPeter,,
A,ANA,Dusty,Bergman,P ,,,,,,,,,,,,,,,,,, 13.50 ,0,0,0,,0,0, 2.0 ,4,3,3,1,1,1,0,0, -   ,1,0,0,2,0,0,0,0,,,,,,,,,,,2004,ANA A,BergmanDusty,,
N,HOU,Lance,Berkman,OF,160, 1.012 , 0.566 , 0.316 , 0.446 ,544,104,172,40,3,30,106,127,101,9,7,56.3%,,,,,  ,,,,,,,,,,,, 0.992 ,166,158,262,1402,248,12,2,3,,,,,,,,,,,2004,HOU N,BerkmanLance,S,L
N,COL,Adam,Bernero,P ,16, -   , -   , -   , -   ,5,1,0,0,0,0,0,0,3,0,0,, 5.61 ,2,1,1, 0.500 ,0,0, 32.1 ,36,20,20,17,21,16,7,0, 1.000 ,16,2,5,32,1,4,0,0,,,,,,,,,,,2004,COL N,BerneroAdam,R,R
A,KC,Ángel,Berroa,SS,134, 0.678 , 0.385 , 0.262 , 0.293 ,512,72,134,27,6,8,43,23,87,14,8,63.6%,,,,,  ,,,,,,,,,,,, 0.955 ,133,132,624,1143,207,389,28,94,,,,,,,,,,,2004,KC A,BerroaÁngel,R,R
A,CLE,Rafael,Betancourt,P ,3,,,,,0,0,0,0,0,0,0,0,0,0,0,, 3.94 ,0,5,6, 0.455 ,0,4, 66.2 ,71,32,29,18,76,68,7,0, 1.000 ,68,0,5,66,2,3,0,0,,,,,,,,,,,2004,CLE A,BetancourtRafael,,
